longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-51.3737182617188	-51.4962158203:-51.2512207031	-22.0910772825901	-22.2159421008:-21.9662124644	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0206909	0.0123596	0.000394027
-51.3737182617188	-51.4962158203:-51.2512207031	-21.841347646139	-21.9662124644:-21.7164828279	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0108294	0.0486276	0.000394069
-51.3737182617188	-51.4962158203:-51.2512207031	-20.5926994638836	-20.7175642821:-20.4678346457	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0215251	0.201233	0.000384483
-51.3737182617188	-51.4962158203:-51.2512207031	-20.3429698274325	-20.4678346457:-20.2181050092	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0275798	0.170556	0.000395817
-51.3737182617188	-51.4962158203:-51.2512207031	-20.0932401909814	-20.2181050092:-19.9683753728	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0193481	0.00997812	0.000393408
-51.3737182617188	-51.4962158203:-51.2512207031	-19.8435105545303	-19.9683753728:-19.7186457363	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0124512	0.00391735	0.000396168
-51.3737182617188	-51.4962158203:-51.2512207031	-19.5937809180792	-19.7186457363:-19.4689160999	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0264821	0.00910501	0.000391357
-51.3737182617188	-51.4962158203:-51.2512207031	-19.3440512816281	-19.4689160999:-19.2191864634	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	-0.00134277	0.0249634	0.000395247
-51.1287231445312	-51.2512207031:-51.0062255859	-22.8402661919434	-22.9651310102:-22.7154013737	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0107897	0.0231247	0.000390831
-51.1287231445312	-51.2512207031:-51.0062255859	-22.5905365554923	-22.7154013737:-22.4656717373	20160102120000	20160102000000:20160103000000	798.144104003906	0.0:1596.28820801	0.0297241	0.0101318	0.000390313
-51.1287231445312	-51.2512207031:-51.0062255859	-21.5916180096879	-21.7164828279:-21.4667531915	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00808716	0.0156555	0.000395389
-51.1287231445312	-51.2512207031:-51.0062255859	-21.3418883732368	-21.4667531915:-21.217023555	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00683158	0.0279977	0.000393437
-51.1287231445312	-51.2512207031:-51.0062255859	-21.0921587367857	-21.217023555:-20.9672939186	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0137939	0.0415985	0.00039529
-51.1287231445312	-51.2512207031:-51.0062255859	-20.8424291003346	-20.9672939186:-20.7175642821	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0153225	0.0208202	0.000395186
-51.1287231445312	-51.2512207031:-51.0062255859	-20.5926994638836	-20.7175642821:-20.4678346457	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0219607	0.0455921	0.00039658
-51.1287231445312	-51.2512207031:-51.0062255859	-20.3429698274325	-20.4678346457:-20.2181050092	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00888766	0.0140146	0.000394897
-50.8837280273438	-51.0062255859:-50.7612304688	-22.3408069190412	-22.4656717373:-22.2159421008	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0186157	-0.0228271	0.000399225
-50.8837280273438	-51.0062255859:-50.7612304688	-22.0910772825901	-22.2159421008:-21.9662124644	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00651597	0.0193352	0.000394338
-50.8837280273438	-51.0062255859:-50.7612304688	-21.841347646139	-21.9662124644:-21.7164828279	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0120537	0.0252853	0.000395064
-50.8837280273438	-51.0062255859:-50.7612304688	-21.5916180096879	-21.7164828279:-21.4667531915	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00946252	0.0595744	0.000394915
-50.8837280273438	-51.0062255859:-50.7612304688	-21.3418883732368	-21.4667531915:-21.217023555	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0362122	0.0198792	0.000394154
-50.6387329101562	-50.7612304688:-50.5162353516	-22.5905365554923	-22.7154013737:-22.4656717373	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	-0.0412598	0.0144043	0.00039627
-50.1487426757812	-50.2712402344:-50.0262451172	-25.3375625564543	-25.4624273747:-25.2126977382	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	-0.0221558	0.01474	0.000391624
-50.1487426757812	-50.2712402344:-50.0262451172	-25.0878329200032	-25.2126977382:-24.9629681018	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.0335236	-0.00119273	0.000393022
-50.1487426757812	-50.2712402344:-50.0262451172	-24.8381032835521	-24.9629681018:-24.7132384653	20160125120000	20160125000000:20160126000000	798.144104003906	0.0:1596.28820801	0.00401611	0.00397949	0.000396462
-49.9037475585938	-50.0262451172:-49.78125	-20.3429698274325	-20.4678346457:-20.2181050092	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0144653	-0.0252075	0.00039753
-49.9037475585938	-50.0262451172:-49.78125	-20.0932401909814	-20.2181050092:-19.9683753728	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0178812	0.0374445	0.000394544
-49.9037475585938	-50.0262451172:-49.78125	-19.8435105545303	-19.9683753728:-19.7186457363	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.00982666	-0.00354004	0.000399866
-49.9037475585938	-50.0262451172:-49.78125	-19.5937809180792	-19.7186457363:-19.4689160999	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	-0.00634766	0.0487061	0.000392714
-49.9037475585938	-50.0262451172:-49.78125	-19.3440512816281	-19.4689160999:-19.2191864634	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0101557	0.0964608	0.000395239
-49.6587524414062	-49.78125:-49.5362548828	-21.0921587367857	-21.217023555:-20.9672939186	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.00404053	-0.0154752	0.000393687
-49.6587524414062	-49.78125:-49.5362548828	-20.8424291003346	-20.9672939186:-20.7175642821	20160118120000	20160118000000:20160119000000	798.144104003906	0.0:1596.28820801	0.0130774	9.81867e-05	0.000394866
